time,altitude,phase,airspeed,ergy
6.88573e+06,35.4052,0.00174451,5.39275,362,361.727
6.88573e+06,30.9315,0.00159355,4.24364,312,312.323
6.88573e+06,27.4665,0.00146334,3.34849,275,274.948
6.88574e+06,24.7825,0.00135135,2.64981,247,246.534
6.88574e+06,22.8847,0.00126489,2.14924,227,226.723
6.88574e+06,21.2068,0.00120101,1.69663,209,209.399
6.88574e+06,20.0522,0.00114001,1.11945,197,197.265
6.88574e+06,19.3152,0.0010782,0.844889,190,189.768
6.88574e+06,18.8498,0.0010185,0.690654,185,185.086
6.88574e+06,18.4282,0.000915977,1.02232,181,181.236
6.88574e+06,17.457,0.000702016,1.85549,173,172.912
6.88574e+06,14.7376,0.000318627,3.31601,150,150.021
6.88574e+06,7.13281,0,4.11205,78,78.4026
