time,altitude,phase_angle,airspeed,specific_energy
16327638.5775175,55692.6601862025,53.4318211229671,2118.72267592093,2744433
16327648.6375173,55353.6488202391,51.5691142152158,2118.65021198799,2741493
16327658.597517,55009.776737958,49.7240556936021,2118.53632975915,2738423
16327668.6175168,54655.1759039785,47.8670235612659,2118.38021238087,2735172
16327678.5575166,54294.055530017,46.0239791930533,2118.18104637655,2731772
16327688.5775164,53919.9645982754,44.1652693507115,2117.93153787405,2728156
16327698.5575161,53536.6108115173,42.313164848146,2117.62982947032,2724349
16327708.5775159,53140.0973314419,40.45283722415,2117.26833807239,2720303
16327718.6175157,52730.3474314195,38.5880134244989,2116.84092988442,2716004
16327728.5975155,52309.7373278368,36.7335820659191,2116.34460139538,2711465
16327738.5975152,51874.0631593227,34.8747107925042,2115.76757984702,2706625
16327748.637515,51421.2522515805,33.0077097486987,2115.09872894376,2701445
16327758.5775148,50956.6481181701,31.1586582888393,2114.33743878762,2695965
16327768.6375146,50468.6997414045,29.2866777116549,2113.4540006138,2690028
16327778.5775143,49967.7285082124,27.4364828916564,2112.45504053649,2683733
16327788.5775141,49443.410645406,25.5746410477367,2111.30668946837,2676921
16327798.5975139,48896.0438090462,23.7086729015383,2109.9918179382,2669559
16327808.5975137,48326.0748047564,21.8423974231988,2108.49253696047,2661611
16327818.5775135,47731.8517325332,19.9871050867696,2106.78086041225,2653007
16327828.6375132,47105.0413905516,18.1131310665646,2104.79982619359,2643554
16327838.577513,46456.1279344099,16.2616280499896,2102.5429046992,2633328
16327848.5775128,45771.0963344887,14.3992773678681,2099.92047451494,2622022
16327858.5775126,45051.0034829826,12.5337915110548,2096.87648324828,2609530
16327868.5575123,44294.418653974,10.680389038727,2093.31795115306,2595645
16327878.5775121,43493.1500867292,8.81715294350964,2089.12555391998,2580052
16327888.5775119,42647.9981140632,6.95946781441623,2084.20993740509,2562578
16327898.5975117,41751.2716257944,5.10050925648229,2078.41718309405,2542842
16327908.5775114,40803.4753534049,3.24842333398256,2071.63914546346,2520638
16327918.5775112,39793.4395917363,1.40408912358766,2063.5569834486,2495227
16327928.617511,38712.3213863326,-0.449734621424561,2053.78757728943,2465772
16327938.5975108,37563.8571058284,-2.27834260129288,2041.9434768927,2431557
16327948.5575105,36335.9911412065,-4.09805107393572,2027.11328608573,2390696
16327958.5975103,35006.1222538139,-5.92023509813096,2007.96429964422,2340439
16327968.6175101,33575.6298923264,-7.7258728907438,1983.16382079358,2278391
16327978.5975099,32035.2144822726,-9.49489063386796,1950.88327980152,2201309
16327988.6175097,30357.2183441038,-11.2475912089168,1908.02780237041,2103747
16327998.5775094,28542.6501268119,-12.9445481720176,1850.43082286714,1979335
16328008.5575092,26562.046659567,-14.5831410952171,1771.15244389211,1818018
16328018.577509,24396.7051534494,-16.1519056318646,1662.4068260404,1611779
16328028.6175088,22043.4597257635,-17.6060173871346,1516.67040569366,1358728
16328038.5975085,19537.5232062384,-18.8964635759308,1328.53123453004,1068117
16328048.5575083,16919.7289186171,-19.9938383024753,1100.65776463196,767154
16328058.5775081,14260.0547342548,-20.8699989226268,847.343517322778,495639
16328059.6175081,13987.6226539784,-20.9468096868281,820.92931979385,471055
16328060.597508,13732.0088764511,-21.0153796439547,796.159153041542,448632
16328061.557508,13482.7639711421,-21.0817186221863,772.043425303057,427385
16328062.597508,13214.1731436696,-21.1510814547962,746.125565254981,405189
16328063.557508,12967.6902252958,-21.2128129766958,722.430274704181,385475
16328064.597508,12702.3868090565,-21.2772239503136,697.049455606835,364966
16328065.6175079,12444.0765924997,-21.3390989751232,672.490078949397,345717
16328066.5775079,12202.8094793062,-21.393991793497,649.714391568158,328388
16328067.5575079,11958.4931362732,-21.4467807404147,626.839907887337,311485
16328068.6175079,11696.6176569916,-21.503693583702,602.567078129577,294093
16328069.5975078,11456.8248940107,-21.5521217831832,580.596212643821,278832
16328070.5575078,11224.1802276794,-21.5985547131729,559.526487648856,264622
16328071.5775078,10979.5377225286,-21.6466489118476,537.635974312306,250300
16328072.6175078,10732.896921211,-21.6924939616727,515.859461571091,236495
16328073.5975078,10503.1591658936,-21.7328599862354,495.865535831734,224205
16328074.5575077,10280.6988659033,-21.7713948437748,476.802285014063,212825
16328075.5975077,10042.6657312049,-21.8111262247527,456.750613229492,201207
16328076.5575077,9825.88350724243,-21.8466775515366,437.954146279225,190741
16328077.5575077,9603.91099116229,-21.8809977099245,417.61153679123,179930
16328078.5775076,9381.88005754724,-21.9133440885129,396.972787266322,169413
16328079.5575076,9173.47353138216,-21.9436740858955,375.793658916142,159247
16328080.5775076,8963.10116346215,-21.9718659082679,352.044766807584,148602
16328081.5775076,8764.41853111412,-21.9978530916778,328.700936252555,138763
16328082.5775076,8572.8342010827,-22.0217693219063,308.920833197738,130631
16328083.5575075,8389.37617006677,-22.0440290101369,295.573769960379,124847
16328084.5575075,8203.63561549457,-22.0650553152231,286.506405652197,120435
16328085.5575075,8017.45432647958,-22.0851207058578,280.220198316195,116876
16328086.5575075,7829.77626655379,-22.1043817102331,275.510923695043,113774
16328087.5575074,7640.09705033002,-22.12292632036,271.716130171115,110922
16328088.5775074,7444.2927992678,-22.1408122538392,268.565821088608,108197
16328089.5575074,7253.76813078485,-22.158086316611,266.108054676333,105716
16328090.5775074,7052.83716122189,-22.174787356341,264.038434031187,103243
16328091.5575074,6857.18006898905,-22.1909477321539,262.436543794347,100945
16328092.5775073,6650.78316750226,-22.2065945865822,261.09859890987,98615
16328093.5575073,6449.82806746848,-22.2217509103131,260.071691253849,96419
16328094.5575073,6242.11389873526,-22.2364364013552,259.235823957956,94206
16328095.5575073,6031.75952473411,-22.2506680921095,258.573086731707,92013
16328096.5775072,5814.54378802993,-22.264461024682,258.03969553264,89785
16328097.5575072,5603.3982751898,-22.2778285821995,257.634450730546,87648
16328098.5775072,5381.17969358666,-22.2907828780049,257.29919907371,85422
16328099.5575072,5165.41435320664,-22.3033350164972,257.040253686793,83275
16328100.5775072,4938.59880556597,-22.3154953547697,256.81881864397,81030
16328101.5775071,4714.12273082777,-22.3272736086269,256.634785920823,78816
16328102.5575071,4492.22396232374,-22.3386790422115,256.474477092351,76631
16328103.5775071,4259.37838668376,-22.349720482123,256.318386684751,74340
16328104.5575071,4033.9646455152,-22.3604065761497,256.170502042841,72121
16328105.557507,3802.35242927342,-22.3707456792681,256.014652071516,69838
16328106.577507,3564.56759590108,-22.3807459749512,255.844362887463,67490
16328107.557507,3334.75797832443,-22.3904154777008,255.664994977367,65215
16328108.577507,3094.28313165752,-22.3997621144337,255.457435051767,62828
16328109.557507,2862.11557545234,-22.4087936594715,255.234285060736,60516
16328110.5575069,2624.18695573846,-22.4175177402182,254.979297780601,58138
16328111.5575069,2385.33498980827,-22.4259419293393,254.693745374187,55742
16328112.5775069,2140.86750909197,-22.4340737210741,254.368094370004,53279
16328113.5575069,1905.29405867867,-22.4419203649923,254.01989360799,50895
16328114.5775068,1659.49191320117,-22.4494891265163,253.618039882323,48396
16328115.5775068,1418.00660565391,-22.4569303623651,253.182367257662,45929
16328116.5575068,1180.9672643306,-22.4638213096131,252.712743360976,43494
16328117.5775068,933.952828674112,-22.4707314731262,252.176220313899,40944
16328118.5975067,690.628299486707,-22.4771542471642,237.347267274761,34934
16328119.5575067,485.955232568085,-22.4824722838998,203.696956174248,25510
16328120.5775067,306.584292991436,-22.4870686609264,160.125433078525,15826
16328121.5775067,174.620920693502,-22.4902750627316,113.048692370502,8103
16328122.6175067,87.8152947466588,-22.4925105323584,60.1336441201152,2669
16328123.5775066,58.8586889207363,-22.4934842812771,4.53971178264683,588
16328124.5575066,59.9211074427003,-22.4937498792824,2.49886885738846,591
16328125.5975066,58.7629796847468,-22.4939046039328,2.12604279404429,579
16328126.5575066,56.6508115610341,-22.4939381657992,2.55963339772463,559
16328127.5975065,53.9055362319341,-22.4938998672585,2.85367853842586,533
16328128.6175065,51.4130679505179,-22.493837592549,2.29082875191975,507
16328129.5975065,49.286344553926,-22.4937899709377,2.1562618206882,486
16328130.5775065,47.6617737682536,-22.493754461952,0.532355977956578,468
