time,facing_dot_north
5732773.84199472,0.00671528986915891
5732773.94199472,0.00671578503075467
5732774.04199472,0.00671486480650177
5732774.14199471,0.00671627027948006
5732774.24199471,0.00671380910187401
5732774.34199471,0.0067134283856977
5732774.44199471,0.00671368302084001
5732774.54199471,0.0067101310141195
5732774.6419947,0.00670917892170914
5732774.7419947,0.00670715642078143
5732774.8419947,0.00670335871999419
5732774.9419947,0.00670311958200397
5732775.04199469,0.00670113351445395
5732775.14199469,0.00669507360638618
5732775.24199469,0.00669465773148751
5732775.34199469,0.00669150518101472
5732775.44199469,0.00668642714923822
5732775.54199468,0.00668702363985178
5732775.64199468,0.00668287880431461
5732775.74199468,0.00668024003329967
5732775.84199468,0.00667679537423516
5732775.94199467,0.0066773490773393
5732776.04199467,0.00667490070913241
5732776.14199467,0.00667357004036316
5732776.24199467,0.00667190421458491
5732776.34199467,0.00667014690607411
5732776.44199466,0.00667192279019369
5732776.54199466,0.00667132539335615
5732776.64199466,0.0066710958438439
5732776.74199466,0.00667223437387576
5732776.84199465,0.00667215871345422
5732776.94199465,0.00667309082246595
5732777.04199465,0.00667403416311499
5732777.14199465,0.00667601658798347
5732777.24199465,0.0066772732370153
5732777.34199464,0.00667846460247338
5732777.44199464,0.0066791943671977
5732777.54199464,0.00668148583102776
5732777.64199464,0.00668183093188185
5732777.74199463,0.00668300968284678
5732777.84199463,0.00668481489803607
5732777.94199463,0.00668364528812107
5732778.04199463,0.00668518167383803
5732778.14199463,0.00668633192572782
5732778.24199462,0.00668438667701064
5732778.34199462,0.00668725044458322
5732778.44199462,0.00668346791430125
5732778.54199462,0.0066837240039592
5732778.64199461,0.00668471052343338
5732778.74199461,0.00668293788819888
5732778.84199461,0.00668016894931357
5732778.94199461,0.00667874141219768
5732779.04199461,0.00667909188050933
5732779.1419946,0.00667679695354763
5732779.2419946,0.00667455882264279
5732779.3419946,0.00667386256989652
5732779.4419946,0.00667112506822554
5732779.54199459,0.00667182988895912
5732779.64199459,0.00666861273083516
5732779.74199459,0.00666831327199065
5732779.84199459,0.00666713951565623
5732779.94199459,0.00666639826401357
5732780.04199458,0.0066659650909224
5732780.14199458,0.00666651696472902
5732780.24199458,0.00666371261392217
5732780.34199458,0.0066647730023221
5732780.44199457,0.00666578089543588
5732780.54199457,0.00666346464289433
5732780.64199457,0.00666429570166003
5732780.74199457,0.00666609213346023
5732780.84199457,0.00666464347239867
5732780.94199456,0.00666777227863955
5732781.04199456,0.0066677057719216
5732781.14199456,0.00666934364061181
