time,altitude,phase_angle,airspeed,ergy,expected_ergy
3987691.9809885,63077.7801118487,54.6411388169951,2109.39498214455,2784499.6728874,2703101.66068409
3987701.98098851,62909.639515199,52.8182271710695,2109.48394145814,2783336.69160937,2697733.36282514
3987711.98098852,62738.3863070556,50.9947728457014,2109.57214853147,2782146.39016092,2691964.96985148
3987721.98098853,62562.9534590971,49.1707656584641,2109.65956186318,2780920.00348453,2685757.53852502
3987731.98098854,62382.2769769937,47.3461944169137,2109.74759650302,2779651.96399705,2679052.95908615
3987741.98098855,62196.2849265801,45.5210462490615,2109.83556323754,2778340.21330951,2671793.12178732
3987751.98098856,62005.3289923458,43.695308678835,2109.92431742145,2776989.34650352,2663907.98240279
3987761.98098856,61810.4692520683,41.868968465694,2110.0130210642,2775606.09296734,2655305.96454689
3987771.98098857,61612.0994519674,40.042013482451,2110.10036553419,2774190.73124046,2645900.73860277
3987781.98098858,61409.5643588339,38.2144320142534,2110.18571047228,2772736.52086267,2635578.59476383
3987791.98098859,61201.5093420227,36.3862101178878,2110.27214755847,2771238.92850802,2624207.03145162
3987801.9809886,60986.3436534973,34.5573310417579,2110.35945403776,2769684.59974757,2611622.38158866
3987811.98098861,60763.7655704956,32.7277782383828,2110.44444790898,2768064.35302115,2597609.4332223
3987821.76565659,60540.0742201665,30.9369552785225,2110.52351574528,2766429.02371288,2582423.55593416
3987831.8856566,60304.5256198462,29.0840543749044,2110.60085049761,2764685.48447734,2564581.5302229
3987841.8456566,60067.9674777065,27.2597382938423,2110.66985946004,2762914.82036159,2544707.77870679
3987851.80565661,59825.3512463722,25.4347073264593,2110.73118176884,2761077.37233274,2522065.28777787
3987861.76565662,59574.3006909254,23.6089463813576,2110.7896004189,2759163.83066031,2496058.68387545
3987871.88565663,59309.1734007762,21.7530897483915,2110.84156295473,2757120.77600979,2465369.58616759
3987881.84565664,59039.2029035643,19.9258070575246,2110.87930382294,2755006.66759236,2429887.69289575
3987891.80565665,58762.4360343405,18.0977502486065,2110.90586484808,2752811.94049781,2387566.51409404
3987901.76565666,58479.6521396399,16.2689101303871,2110.91348216896,2750526.31650028,2335902.21356976
3987911.88565667,58183.9251506177,14.4098848431512,2110.89975963998,2748088.0785185,2269563.18966093
3987921.84565668,57881.1750159243,12.5794470814469,2110.87204503119,2745560.76306146,2185436.52252084
3987931.80565669,57565.7831857919,10.7481973053636,2110.8220209952,2742880.90117222,2075132.03839791
3987941.7656567,57240.1892495067,8.91612717131262,2110.74775400832,2740064.12840256,1926923.85828989
3987951.88565671,56901.5205675049,7.0537771443911,2110.64534566617,2737078.38086983,1717964.1598441
3987961.84565672,56558.4797314206,5.22003576562883,2110.51015208857,2733984.64794497,1430026.50279608
3987971.80565673,56200.9525412858,3.38546103530296,2110.34798560825,2730712.16150415,1020679.62555729
3987981.76565673,55827.3147484467,1.55004214562686,2110.14970179371,2727228.11507366,480502.131393791
3987991.88565674,55435.1039778737,-0.315730284984892,2109.90699738668,2723494.40789035,450.765
